"","Paises","RendaMensal","QI","Educacao","TempMax","ExpectHomens","ExpectMulheres","Natalidade","Mortalidade","Continente"
"1","Albania",509,82,118,21.3,74.6,79.7,10.3,10.8,"Europa"
"2","Algeria",305,77,253,26.5,73.1,75.9,22.4,5.4,"África"
"3","Australia",4764,99,2343,24.3,81.2,85.3,11.5,6.3,"Oceania"
"4","Austria",4397,99,2341,13.1,78.9,83.6,9.4,10.3,"Europa"
"5","Bahrain",1913,83,542,32.5,78.2,80.4,12.6,2.2,"Asia"
"6","Bangladesh",214,75,20,29.9,70.2,74,18.1,5.8,"Asia"
"7","Belgium",4208,98,2507,14.8,78.6,83.1,9.9,11,"Europa"
"8","Bermuda Islands",10206,92,1748,24.6,78.3,86,8.4,8.8,"América"
"9","Bolivia",274,79,156,27.5,61.6,67.8,22.1,9.3,"América"
"10","Brazil",645,83,427,30.7,70.7,77.4,13.1,7.4,"América"
"11","Brunei",2527,88,102,31.7,72.7,77,14.2,5,"Asia"
"12","Bulgaria",933,91,224,18.1,69.9,77.5,8.5,18,"Europa"
"13","Cambodia",132,97,16,33.1,68,72.7,19.8,6.2,"Asia"
"14","Cameroon",133,67,36,31,59.1,62.6,35.5,8.4,"África"
"15","Canada",4026,100,2052,7.4,79.7,83.9,9.4,8.1,"América"
"16","Cayman Islands",5157,82,1643,30.7,79.8,84.7,12.6,3.3,"América"
"17","Chile",1232,88,482,18.4,76.7,82,11.8,7.2,"América"
"18","China",990,104,183,19.1,75.3,81.1,8.5,7.1,"Asia"
"19","Colombia",516,83,231,30.3,71.5,78.1,14.4,6.6,"América"
"20","Costa Rica",1026,88,487,28.6,76.8,81.9,12.2,5.6,"América"
"21","Czech Republic",2036,96,712,12.8,75.3,81.3,10.3,12.1,"Europa"
"22","Denmark",5692,98,4133,12.5,79.6,83.6,10.4,9.4,"Europa"
"23","East Timor",95,74,54,30.9,66.8,70.3,25.3,6.8,"Asia"
"24","Ecuador",497,79,199,25.6,68.8,76.1,17,7.5,"América"
"25","Egypt",279,78,91,30,68.7,73.4,23.1,5.9,"África"
"26","El Salvador",355,72,113,31.2,66.4,75.4,16.2,8.4,"América"
"27","Finland",4459,101,2725,8.2,79.4,85,8.4,10,"Europa"
"28","France",3680,97,2042,16.8,79.2,85.3,10.9,9.9,"Europa"
"29","Georgia",392,86,84,20.1,67.7,77.9,13,14,"Asia"
"30","Germany",4305,100,1883,13.8,78.6,83.4,9.3,11.9,"Europa"
"31","Ghana",190,61,76,32.1,61.9,66.4,28,7.4,"África"
"32","Greece",1667,91,781,22.3,78.6,83.7,7.9,12.2,"Europa"
"33","Hong Kong",4538,106,1283,26.2,82.9,88,5.8,6.8,"Asia"
"34","Hungary",1478,99,585,16.6,72.3,79.1,9.6,14.5,"Europa"
"35","Iceland",5288,99,3814,8.1,81.7,84.5,12.3,6.3,"Europa"
"36","India",179,77,47,31.7,68.6,71.8,16.6,7.4,"Asia"
"37","Indonesia",348,80,79,31.6,66.7,71,16.6,9,"Asia"
"38","Iran",294,81,176,26.6,72.1,77.8,14.2,5.6,"Asia"
"39","Iraq",397,88,193,32.3,67,71.2,27.7,5.2,"Asia"
"40","Ireland",6343,95,25,13.2,80.4,84.1,11.2,6.4,"Europa"
"41","Israel",4108,93,1811,25.4,80.7,84.8,19.2,5.3,"Asia"
"42","Italy",2999,95,138,17.8,80.1,84.7,6.8,12.6,"Europa"
"43","Japan",3554,106,1341,19.2,81.6,87.7,6.8,11.1,"Asia"
"44","Kazakhstan",740,89,225,13.5,67.1,75.5,22.8,8.6,"Asia"
"45","Kenya",173,74,62,27.4,60.4,65.1,28,7.5,"África"
"46","Laos",208,83,32,32,66.5,70.6,22.4,6.4,"Asia"
"47","Luxembourg",7349,100,3665,14.6,79.4,84.2,10.2,7.3,"Europa"
"48","Macao",3871,100,1448,26,82.6,87.8,10.1,4,"Asia"
"49","Malaysia",893,89,450,32.1,73.6,78.5,15.4,5.3,"Asia"
"50","Maldives",800,80,302,31,78.9,81.3,14.6,3,"Asia"
"51","Mauritius",827,87,310,26.8,70.9,77.7,10.6,8.7,"África"
"52","Mexico",799,87,437,29.8,66.3,74.3,15.6,9.3,"América"
"53","Mongolia",311,93,153,8.1,67.5,77,22.4,5.5,"Asia"
"54","Montenegro",778,85,NA,21.1,73.2,78.8,11.4,11.7,"Europa"
"55","Morocco",302,71,144,24,71.8,76.3,17.9,6.1,"África"
"56","Myanmar",98,89,14,32.2,63.8,70,17.4,8.8,"Asia"
"57","Nepal",102,51,22,24.7,67.3,71.2,20.6,7.2,"Asia"
"58","Netherlands",4600,101,2386,14.4,79.8,83.1,9.7,9.7,"Europa"
"59","New Zealand",3769,99,2083,17.4,80.3,83.9,11.3,6.4,"Oceania"
"60","Nigeria",173,68,NA,33.3,52.5,53.3,37.5,13,"África"
"61","Norway",6990,98,5425,9,81.6,84.9,9.8,7.5,"Europa"
"62","Oman",1496,80,798,33.8,73.3,76.8,18.8,3,"Asia"
"63","Pakistan",123,81,27,30.9,63.9,68.8,28,7.1,"Asia"
"64","Philippines",296,83,67,31.9,70.2,74,22,5.6,"Asia"
"65","Poland",1404,96,545,13.4,72.6,80.8,9.4,12.6,"Europa"
"66","Portugal",1991,93,1005,21.5,78,84.1,8.2,12,"Europa"
"67","Puerto Rico",1882,82,1174,30.4,73.6,82.6,5.6,9.6,"América"
"68","Qatar",5193,80,233,33.7,78.2,80.7,10.9,1.2,"Asia"
"69","Romania",1180,88,249,16,70.5,78.4,9.2,15.4,"Europa"
"70","Russia",968,96,338,9.5,66.5,76.4,9.8,14.6,"Europa"
"71","Saudi Arabia",1795,77,1249,32.8,75,78,18.2,2.9,"Asia"
"72","Serbia",705,89,208,18.3,71.4,77.2,8.9,16.9,"Europa"
"73","Singapore",5334,106,1427,31.5,81.5,86.1,8.5,5.2,"Asia"
"74","South Africa",544,69,336,24.7,62.2,68,20.3,9.4,"África"
"75","South Korea",2926,103,1024,18.2,80.5,86.5,5.3,5.9,"Asia"
"76","Spain",2474,95,1176,21.1,79.7,85.1,7.1,10.4,"Europa"
"77","Sri Lanka",336,85,55,29.7,72.6,80.1,14.2,7.1,"Asia"
"78","Sweden",4962,98,3419,9.9,80.7,84.2,10.9,9.5,"Europa"
"79","Switzerland",7550,100,355,15.2,81.1,85.2,9.9,8.8,"Europa"
"80","Tanzania",92,74,29,29.1,64.4,68.5,36.7,6.2,"África"
"81","Thailand",591,89,182,33,75,83.7,9.2,7.3,"Asia"
"82","Turkey",825,87,334,20.4,72.8,79.1,15,6.4,"Asia"
"83","Ukraine",343,91,143,14.6,66.4,76.2,7.8,15.9,"Europa"
"84","United Arab Emirates",3481,82,805,34.4,77.5,81.1,10.6,1.8,"Asia"
"85","United Kingdom",3707,99,2076,12.9,79,82.9,10.2,10.4,"Europa"
"86","United States of America",5911,97,2608,18.8,74.5,80.2,10.9,10.3,"América"
"87","Vietnam",299,91,76,28.8,70.8,79.9,15.4,6.2,"Asia"
